id,booking_id,service_id,service_name_snapshot,duration_minutes,base_price_snapshot,additional_duration_steps,price_per_step_snapshot,line_amount,created_at
35,28,10,Chăm sóc và massage bàn chân,45,250000,0,80000,250000,2026-09-15 02:00:00
36,28,7,"Trị liệu đầu, cổ và vai gáy",45,280000,0,0,280000,2026-09-15 02:00:00
37,29,4,Massage thư giãn toàn thân,60,450000,0,180000,450000,2026-09-15 08:00:00
38,30,8,Tẩy tế bào chết toàn thân,60,420000,0,0,420000,2026-09-14 16:00:00
39,31,2,Làm sạch sâu da mặt,75,480000,0,0,480000,2026-08-24 12:30:00
40,31,1,Chăm sóc da mặt cơ bản,120,350000,2,120000,590000,2026-08-24 12:30:00
41,32,1,Chăm sóc da mặt cơ bản,60,350000,0,120000,350000,2026-09-03 07:45:00
42,33,1,Chăm sóc da mặt cơ bản,90,350000,1,120000,470000,2026-09-14 12:15:00
43,34,9,Ủ dưỡng và chăm sóc cơ thể,75,580000,0,0,580000,2026-08-21 06:00:00
44,35,2,Làm sạch sâu da mặt,75,480000,0,0,480000,2026-09-14 18:00:00
45,36,9,Ủ dưỡng và chăm sóc cơ thể,75,580000,0,0,580000,2026-06-09 05:15:00
46,37,5,Massage tinh dầu,60,520000,0,200000,520000,2026-05-17 05:15:00
47,38,5,Massage tinh dầu,120,520000,2,200000,920000,2026-05-19 12:15:00
48,38,4,Massage thư giãn toàn thân,90,450000,1,180000,630000,2026-05-19 12:15:00
49,39,6,Massage đá nóng,90,650000,0,0,650000,2026-08-22 07:30:00
50,40,9,Ủ dưỡng và chăm sóc cơ thể,75,580000,0,0,580000,2026-07-14 04:00:00
51,40,6,Massage đá nóng,90,650000,0,0,650000,2026-07-14 04:00:00
52,41,3,Cấp ẩm chuyên sâu da mặt,60,520000,0,150000,520000,2026-06-20 06:15:00
53,42,2,Làm sạch sâu da mặt,75,480000,0,0,480000,2026-08-14 05:15:00
54,43,10,Chăm sóc và massage bàn chân,45,250000,0,80000,250000,2026-09-14 13:00:00
55,44,10,Chăm sóc và massage bàn chân,60,250000,1,80000,330000,2026-09-14 18:00:00
56,45,6,Massage đá nóng,90,650000,0,0,650000,2026-09-15 05:00:00
57,46,6,Massage đá nóng,90,650000,0,0,650000,2026-09-15 05:00:00
58,47,6,Massage đá nóng,90,650000,0,0,650000,2026-08-01 07:00:00
59,48,1,Chăm sóc da mặt cơ bản,90,350000,1,120000,470000,2026-09-14 17:00:00
60,49,4,Massage thư giãn toàn thân,120,450000,2,180000,810000,2026-09-07 09:15:00
61,50,8,Tẩy tế bào chết toàn thân,60,420000,0,0,420000,2026-05-25 12:00:00
62,50,2,Làm sạch sâu da mặt,75,480000,0,0,480000,2026-05-25 12:00:00
63,51,2,Làm sạch sâu da mặt,75,480000,0,0,480000,2026-09-15 00:00:00
64,52,4,Massage thư giãn toàn thân,90,450000,1,180000,630000,2026-09-15 12:00:00
65,53,11,Phục hồi da cao cấp,90,850000,0,0,850000,2026-09-15 00:00:00
66,54,5,Massage tinh dầu,90,520000,1,200000,720000,2026-09-15 02:00:00
67,55,3,Cấp ẩm chuyên sâu da mặt,120,520000,2,150000,820000,2026-09-15 08:00:00
68,56,5,Massage tinh dầu,90,520000,1,200000,720000,2026-09-01 07:15:00
69,57,7,"Trị liệu đầu, cổ và vai gáy",45,280000,0,0,280000,2026-05-15 09:15:00
70,58,2,Làm sạch sâu da mặt,75,480000,0,0,480000,2026-09-13 12:30:00
71,59,2,Làm sạch sâu da mặt,75,480000,0,0,480000,2026-09-15 05:00:00
72,60,2,Làm sạch sâu da mặt,75,480000,0,0,480000,2026-09-15 13:00:00
73,61,1,Chăm sóc da mặt cơ bản,120,350000,2,120000,590000,2026-06-06 06:30:00
74,62,6,Massage đá nóng,90,650000,0,0,650000,2026-07-05 10:30:00
75,63,10,Chăm sóc và massage bàn chân,60,250000,1,80000,330000,2026-06-26 11:45:00
76,64,10,Chăm sóc và massage bàn chân,60,250000,1,80000,330000,2026-09-03 11:15:00
77,65,4,Massage thư giãn toàn thân,60,450000,0,180000,450000,2026-08-24 12:45:00
78,66,7,"Trị liệu đầu, cổ và vai gáy",45,280000,0,0,280000,2026-06-17 06:30:00
79,66,8,Tẩy tế bào chết toàn thân,60,420000,0,0,420000,2026-06-17 06:30:00
80,67,1,Chăm sóc da mặt cơ bản,120,350000,2,120000,590000,2026-09-15 10:00:00
81,68,4,Massage thư giãn toàn thân,120,450000,2,180000,810000,2026-07-09 09:00:00
82,69,7,"Trị liệu đầu, cổ và vai gáy",45,280000,0,0,280000,2026-05-18 12:30:00
83,70,6,Massage đá nóng,90,650000,0,0,650000,2026-06-12 12:30:00
84,71,4,Massage thư giãn toàn thân,90,450000,1,180000,630000,2026-08-24 10:15:00
85,71,1,Chăm sóc da mặt cơ bản,60,350000,0,120000,350000,2026-08-24 10:15:00
86,72,5,Massage tinh dầu,120,520000,2,200000,920000,2026-08-25 09:15:00
87,73,11,Phục hồi da cao cấp,90,850000,0,0,850000,2026-06-17 03:45:00
88,74,10,Chăm sóc và massage bàn chân,60,250000,1,80000,330000,2026-09-15 11:15:00
89,75,2,Làm sạch sâu da mặt,75,480000,0,0,480000,2026-09-14 19:00:00
90,75,1,Chăm sóc da mặt cơ bản,120,350000,2,120000,590000,2026-09-14 19:00:00
91,76,3,Cấp ẩm chuyên sâu da mặt,120,520000,2,150000,820000,2026-09-15 07:00:00
92,76,11,Phục hồi da cao cấp,90,850000,0,0,850000,2026-09-15 07:00:00
93,77,1,Chăm sóc da mặt cơ bản,120,350000,2,120000,590000,2026-09-15 03:00:00
94,78,10,Chăm sóc và massage bàn chân,60,250000,1,80000,330000,2026-05-30 06:45:00
95,79,7,"Trị liệu đầu, cổ và vai gáy",45,280000,0,0,280000,2026-07-27 10:30:00
96,80,1,Chăm sóc da mặt cơ bản,120,350000,2,120000,590000,2026-09-15 06:00:00
97,81,2,Làm sạch sâu da mặt,75,480000,0,0,480000,2026-09-14 23:00:00
98,81,3,Cấp ẩm chuyên sâu da mặt,90,520000,1,150000,670000,2026-09-14 23:00:00
99,82,1,Chăm sóc da mặt cơ bản,120,350000,2,120000,590000,2026-06-01 15:30:00
100,83,7,"Trị liệu đầu, cổ và vai gáy",45,280000,0,0,280000,2026-08-23 05:45:00
101,84,3,Cấp ẩm chuyên sâu da mặt,120,520000,2,150000,820000,2026-09-10 09:15:00
102,85,2,Làm sạch sâu da mặt,75,480000,0,0,480000,2026-09-14 12:00:00
103,85,3,Cấp ẩm chuyên sâu da mặt,60,520000,0,150000,520000,2026-09-14 12:00:00
104,86,5,Massage tinh dầu,90,520000,1,200000,720000,2026-09-14 15:00:00
105,87,5,Massage tinh dầu,60,520000,0,200000,520000,2026-05-27 14:30:00
106,88,8,Tẩy tế bào chết toàn thân,60,420000,0,0,420000,2026-06-18 08:30:00
107,89,1,Chăm sóc da mặt cơ bản,90,350000,1,120000,470000,2026-09-15 12:00:00
108,90,10,Chăm sóc và massage bàn chân,60,250000,1,80000,330000,2026-06-11 09:45:00
109,91,9,Ủ dưỡng và chăm sóc cơ thể,75,580000,0,0,580000,2026-08-18 05:00:00
110,92,6,Massage đá nóng,90,650000,0,0,650000,2026-08-01 08:45:00
111,93,5,Massage tinh dầu,90,520000,1,200000,720000,2026-09-14 10:15:00
112,94,10,Chăm sóc và massage bàn chân,60,250000,1,80000,330000,2026-06-25 11:00:00
113,95,3,Cấp ẩm chuyên sâu da mặt,90,520000,1,150000,670000,2026-06-19 10:45:00
114,96,10,Chăm sóc và massage bàn chân,60,250000,1,80000,330000,2026-09-15 11:00:00
115,97,2,Làm sạch sâu da mặt,75,480000,0,0,480000,2026-09-15 10:00:00
116,98,8,Tẩy tế bào chết toàn thân,60,420000,0,0,420000,2026-09-15 05:00:00
117,99,7,"Trị liệu đầu, cổ và vai gáy",45,280000,0,0,280000,2026-05-31 13:45:00
118,100,1,Chăm sóc da mặt cơ bản,90,350000,1,120000,470000,2026-08-01 07:30:00
119,101,10,Chăm sóc và massage bàn chân,60,250000,1,80000,330000,2026-07-17 13:45:00
120,102,4,Massage thư giãn toàn thân,90,450000,1,180000,630000,2026-09-07 10:00:00
121,102,2,Làm sạch sâu da mặt,75,480000,0,0,480000,2026-09-07 10:00:00
122,103,9,Ủ dưỡng và chăm sóc cơ thể,75,580000,0,0,580000,2026-09-14 11:00:00
123,104,6,Massage đá nóng,90,650000,0,0,650000,2026-09-14 09:00:00
124,105,10,Chăm sóc và massage bàn chân,60,250000,1,80000,330000,2026-06-11 11:00:00
125,106,7,"Trị liệu đầu, cổ và vai gáy",45,280000,0,0,280000,2026-09-14 09:00:00
126,107,10,Chăm sóc và massage bàn chân,60,250000,1,80000,330000,2026-09-14 11:00:00
127,108,2,Làm sạch sâu da mặt,75,480000,0,0,480000,2026-09-12 09:30:00
128,109,9,Ủ dưỡng và chăm sóc cơ thể,75,580000,0,0,580000,2026-09-15 12:00:00
129,110,5,Massage tinh dầu,90,520000,1,200000,720000,2026-09-15 08:00:00
130,111,2,Làm sạch sâu da mặt,75,480000,0,0,480000,2026-09-15 02:00:00
131,112,2,Làm sạch sâu da mặt,75,480000,0,0,480000,2026-06-22 05:00:00
132,113,6,Massage đá nóng,90,650000,0,0,650000,2026-08-22 08:45:00
133,114,4,Massage thư giãn toàn thân,60,450000,0,180000,450000,2026-09-14 21:00:00
134,115,11,Phục hồi da cao cấp,90,850000,0,0,850000,2026-06-04 12:15:00
135,115,1,Chăm sóc da mặt cơ bản,60,350000,0,120000,350000,2026-06-04 12:15:00
136,116,3,Cấp ẩm chuyên sâu da mặt,120,520000,2,150000,820000,2026-09-14 16:00:00
137,117,7,"Trị liệu đầu, cổ và vai gáy",45,280000,0,0,280000,2026-09-15 07:00:00
138,118,3,Cấp ẩm chuyên sâu da mặt,90,520000,1,150000,670000,2026-05-27 11:30:00
139,119,2,Làm sạch sâu da mặt,75,480000,0,0,480000,2026-09-14 10:00:00
140,120,7,"Trị liệu đầu, cổ và vai gáy",45,280000,0,0,280000,2026-06-03 14:45:00
141,121,4,Massage thư giãn toàn thân,60,450000,0,180000,450000,2026-07-07 10:15:00
142,122,10,Chăm sóc và massage bàn chân,60,250000,1,80000,330000,2026-09-14 18:00:00
143,123,3,Cấp ẩm chuyên sâu da mặt,90,520000,1,150000,670000,2026-09-14 22:00:00
144,124,4,Massage thư giãn toàn thân,90,450000,1,180000,630000,2026-07-24 10:15:00
145,125,1,Chăm sóc da mặt cơ bản,60,350000,0,120000,350000,2026-09-06 12:00:00
146,126,4,Massage thư giãn toàn thân,120,450000,2,180000,810000,2026-09-15 00:00:00
147,127,2,Làm sạch sâu da mặt,75,480000,0,0,480000,2026-09-14 23:00:00
148,128,5,Massage tinh dầu,90,520000,1,200000,720000,2026-06-21 06:15:00
149,129,3,Cấp ẩm chuyên sâu da mặt,120,520000,2,150000,820000,2026-09-09 08:45:00
150,130,8,Tẩy tế bào chết toàn thân,60,420000,0,0,420000,2026-08-25 10:15:00
151,131,4,Massage thư giãn toàn thân,90,450000,1,180000,630000,2026-09-15 03:00:00
152,132,1,Chăm sóc da mặt cơ bản,90,350000,1,120000,470000,2026-09-14 10:00:00
153,133,10,Chăm sóc và massage bàn chân,45,250000,0,80000,250000,2026-08-29 08:45:00
154,134,2,Làm sạch sâu da mặt,75,480000,0,0,480000,2026-08-26 04:30:00
155,135,1,Chăm sóc da mặt cơ bản,60,350000,0,120000,350000,2026-08-28 11:15:00
156,136,8,Tẩy tế bào chết toàn thân,60,420000,0,0,420000,2026-09-14 23:00:00
157,137,11,Phục hồi da cao cấp,90,850000,0,0,850000,2026-07-12 07:15:00
158,138,2,Làm sạch sâu da mặt,75,480000,0,0,480000,2026-05-18 09:00:00
159,139,1,Chăm sóc da mặt cơ bản,120,350000,2,120000,590000,2026-09-14 21:00:00
160,140,4,Massage thư giãn toàn thân,120,450000,2,180000,810000,2026-08-18 09:15:00
161,141,9,Ủ dưỡng và chăm sóc cơ thể,75,580000,0,0,580000,2026-07-31 10:45:00
162,142,2,Làm sạch sâu da mặt,75,480000,0,0,480000,2026-09-14 07:45:00
163,142,4,Massage thư giãn toàn thân,90,450000,1,180000,630000,2026-09-14 07:45:00
164,143,4,Massage thư giãn toàn thân,60,450000,0,180000,450000,2026-05-28 15:45:00
165,144,2,Làm sạch sâu da mặt,75,480000,0,0,480000,2026-07-01 07:45:00
166,145,3,Cấp ẩm chuyên sâu da mặt,120,520000,2,150000,820000,2026-07-21 09:45:00
167,146,6,Massage đá nóng,90,650000,0,0,650000,2026-07-14 09:15:00
168,147,6,Massage đá nóng,90,650000,0,0,650000,2026-08-26 09:00:00
169,148,4,Massage thư giãn toàn thân,120,450000,2,180000,810000,2026-09-15 02:00:00
170,149,2,Làm sạch sâu da mặt,75,480000,0,0,480000,2026-08-12 15:00:00
171,149,5,Massage tinh dầu,90,520000,1,200000,720000,2026-08-12 15:00:00
172,150,2,Làm sạch sâu da mặt,75,480000,0,0,480000,2026-08-14 15:00:00
173,151,2,Làm sạch sâu da mặt,75,480000,0,0,480000,2026-09-15 10:00:00
174,152,7,"Trị liệu đầu, cổ và vai gáy",45,280000,0,0,280000,2026-06-02 04:30:00
175,153,7,"Trị liệu đầu, cổ và vai gáy",45,280000,0,0,280000,2026-09-14 17:00:00
176,154,10,Chăm sóc và massage bàn chân,45,250000,0,80000,250000,2026-09-15 11:00:00
177,155,1,Chăm sóc da mặt cơ bản,120,350000,2,120000,590000,2026-05-14 14:45:00
178,156,4,Massage thư giãn toàn thân,60,450000,0,180000,450000,2026-07-09 16:00:00
179,157,5,Massage tinh dầu,90,520000,1,200000,720000,2026-08-18 16:00:00
180,158,2,Làm sạch sâu da mặt,75,480000,0,0,480000,2026-09-14 13:45:00
181,159,5,Massage tinh dầu,120,520000,2,200000,920000,2026-08-29 07:00:00
182,160,8,Tẩy tế bào chết toàn thân,60,420000,0,0,420000,2026-09-14 20:00:00
183,161,1,Chăm sóc da mặt cơ bản,60,350000,0,120000,350000,2026-09-15 06:00:00
184,162,2,Làm sạch sâu da mặt,75,480000,0,0,480000,2026-07-21 13:45:00
185,163,11,Phục hồi da cao cấp,90,850000,0,0,850000,2026-07-02 05:45:00
186,164,8,Tẩy tế bào chết toàn thân,60,420000,0,0,420000,2026-09-15 03:00:00
187,165,5,Massage tinh dầu,90,520000,1,200000,720000,2026-06-11 09:15:00
188,165,4,Massage thư giãn toàn thân,120,450000,2,180000,810000,2026-06-11 09:15:00
189,166,2,Làm sạch sâu da mặt,75,480000,0,0,480000,2026-09-14 19:00:00
190,166,8,Tẩy tế bào chết toàn thân,60,420000,0,0,420000,2026-09-14 19:00:00
191,167,9,Ủ dưỡng và chăm sóc cơ thể,75,580000,0,0,580000,2026-09-02 10:45:00
192,168,11,Phục hồi da cao cấp,90,850000,0,0,850000,2026-07-01 12:15:00
193,168,3,Cấp ẩm chuyên sâu da mặt,90,520000,1,150000,670000,2026-07-01 12:15:00
194,169,5,Massage tinh dầu,90,520000,1,200000,720000,2026-09-15 09:00:00
195,170,1,Chăm sóc da mặt cơ bản,90,350000,1,120000,470000,2026-09-15 07:00:00
196,171,7,"Trị liệu đầu, cổ và vai gáy",45,280000,0,0,280000,2026-09-14 06:30:00
197,172,4,Massage thư giãn toàn thân,90,450000,1,180000,630000,2026-09-14 11:00:00
198,173,2,Làm sạch sâu da mặt,75,480000,0,0,480000,2026-08-10 16:15:00
199,174,11,Phục hồi da cao cấp,90,850000,0,0,850000,2026-07-02 12:45:00
200,175,10,Chăm sóc và massage bàn chân,60,250000,1,80000,330000,2026-06-05 05:15:00
201,176,10,Chăm sóc và massage bàn chân,45,250000,0,80000,250000,2026-09-14 15:00:00
202,177,10,Chăm sóc và massage bàn chân,45,250000,0,80000,250000,2026-09-14 12:00:00
203,178,6,Massage đá nóng,90,650000,0,0,650000,2026-07-18 08:15:00
204,179,7,"Trị liệu đầu, cổ và vai gáy",45,280000,0,0,280000,2026-08-16 09:30:00
205,180,3,Cấp ẩm chuyên sâu da mặt,120,520000,2,150000,820000,2026-09-14 07:45:00
206,181,9,Ủ dưỡng và chăm sóc cơ thể,75,580000,0,0,580000,2026-09-03 05:30:00
207,182,7,"Trị liệu đầu, cổ và vai gáy",45,280000,0,0,280000,2026-09-15 13:00:00
208,183,10,Chăm sóc và massage bàn chân,75,250000,2,80000,410000,2026-06-20 16:00:00
209,184,10,Chăm sóc và massage bàn chân,45,250000,0,80000,250000,2026-05-20 10:00:00
210,185,4,Massage thư giãn toàn thân,60,450000,0,180000,450000,2026-09-14 22:00:00
211,186,2,Làm sạch sâu da mặt,75,480000,0,0,480000,2026-08-24 09:30:00
212,187,7,"Trị liệu đầu, cổ và vai gáy",45,280000,0,0,280000,2026-06-12 12:30:00
213,188,4,Massage thư giãn toàn thân,60,450000,0,180000,450000,2026-06-20 10:00:00
214,189,1,Chăm sóc da mặt cơ bản,60,350000,0,120000,350000,2026-07-22 12:30:00
215,190,4,Massage thư giãn toàn thân,120,450000,2,180000,810000,2026-06-21 14:45:00
216,191,6,Massage đá nóng,90,650000,0,0,650000,2026-05-14 11:30:00
217,192,9,Ủ dưỡng và chăm sóc cơ thể,75,580000,0,0,580000,2026-09-14 22:00:00
218,193,7,"Trị liệu đầu, cổ và vai gáy",45,280000,0,0,280000,2026-05-11 16:00:00
219,194,2,Làm sạch sâu da mặt,75,480000,0,0,480000,2026-08-20 12:15:00
220,195,2,Làm sạch sâu da mặt,75,480000,0,0,480000,2026-09-14 18:00:00
221,196,10,Chăm sóc và massage bàn chân,60,250000,1,80000,330000,2026-09-14 10:00:00
222,197,10,Chăm sóc và massage bàn chân,45,250000,0,80000,250000,2026-07-29 13:00:00
223,198,9,Ủ dưỡng và chăm sóc cơ thể,75,580000,0,0,580000,2026-07-08 03:30:00
224,199,4,Massage thư giãn toàn thân,90,450000,1,180000,630000,2026-09-14 15:00:00
225,199,5,Massage tinh dầu,60,520000,0,200000,520000,2026-09-14 15:00:00
226,200,2,Làm sạch sâu da mặt,75,480000,0,0,480000,2026-08-27 05:30:00
227,201,3,Cấp ẩm chuyên sâu da mặt,90,520000,1,150000,670000,2026-08-26 09:30:00
228,202,9,Ủ dưỡng và chăm sóc cơ thể,75,580000,0,0,580000,2026-06-30 10:30:00
229,202,8,Tẩy tế bào chết toàn thân,60,420000,0,0,420000,2026-06-30 10:30:00
230,203,1,Chăm sóc da mặt cơ bản,60,350000,0,120000,350000,2026-08-08 08:00:00
231,204,9,Ủ dưỡng và chăm sóc cơ thể,75,580000,0,0,580000,2026-08-21 16:15:00
232,205,4,Massage thư giãn toàn thân,120,450000,2,180000,810000,2026-08-24 10:15:00
233,206,4,Massage thư giãn toàn thân,90,450000,1,180000,630000,2026-09-07 07:00:00
234,207,2,Làm sạch sâu da mặt,75,480000,0,0,480000,2026-05-28 12:00:00
235,207,6,Massage đá nóng,90,650000,0,0,650000,2026-05-28 12:00:00
236,208,2,Làm sạch sâu da mặt,75,480000,0,0,480000,2026-08-01 07:45:00
237,209,1,Chăm sóc da mặt cơ bản,90,350000,1,120000,470000,2026-08-24 13:30:00
238,209,2,Làm sạch sâu da mặt,75,480000,0,0,480000,2026-08-24 13:30:00
239,210,9,Ủ dưỡng và chăm sóc cơ thể,75,580000,0,0,580000,2026-09-14 17:00:00
240,211,3,Cấp ẩm chuyên sâu da mặt,60,520000,0,150000,520000,2026-08-11 07:15:00
241,211,5,Massage tinh dầu,120,520000,2,200000,920000,2026-08-11 07:15:00
242,212,1,Chăm sóc da mặt cơ bản,90,350000,1,120000,470000,2026-09-15 09:00:00
243,213,7,"Trị liệu đầu, cổ và vai gáy",45,280000,0,0,280000,2026-09-13 05:45:00
244,214,6,Massage đá nóng,90,650000,0,0,650000,2026-05-26 06:00:00
245,215,1,Chăm sóc da mặt cơ bản,120,350000,2,120000,590000,2026-07-28 03:30:00
246,216,10,Chăm sóc và massage bàn chân,60,250000,1,80000,330000,2026-08-30 11:45:00
247,217,2,Làm sạch sâu da mặt,75,480000,0,0,480000,2026-09-15 12:00:00
248,218,2,Làm sạch sâu da mặt,75,480000,0,0,480000,2026-06-03 15:15:00
249,219,3,Cấp ẩm chuyên sâu da mặt,90,520000,1,150000,670000,2026-09-15 11:00:00
250,220,2,Làm sạch sâu da mặt,75,480000,0,0,480000,2026-06-08 04:45:00
251,221,5,Massage tinh dầu,90,520000,1,200000,720000,2026-06-13 06:45:00
252,221,4,Massage thư giãn toàn thân,120,450000,2,180000,810000,2026-06-13 06:45:00
253,222,2,Làm sạch sâu da mặt,75,480000,0,0,480000,2026-09-14 16:00:00
254,223,5,Massage tinh dầu,60,520000,0,200000,520000,2026-09-14 09:00:00
255,224,4,Massage thư giãn toàn thân,90,450000,1,180000,630000,2026-09-14 22:00:00
256,225,3,Cấp ẩm chuyên sâu da mặt,90,520000,1,150000,670000,2026-09-10 03:15:00
257,226,1,Chăm sóc da mặt cơ bản,90,350000,1,120000,470000,2026-09-14 11:00:00
258,227,6,Massage đá nóng,90,650000,0,0,650000,2026-09-15 04:00:00
259,228,1,Chăm sóc da mặt cơ bản,90,350000,1,120000,470000,2026-09-14 17:00:00
260,229,2,Làm sạch sâu da mặt,75,480000,0,0,480000,2026-06-01 11:00:00
261,230,1,Chăm sóc da mặt cơ bản,90,350000,1,120000,470000,2026-09-15 08:00:00
262,231,4,Massage thư giãn toàn thân,120,450000,2,180000,810000,2026-09-01 12:15:00
263,232,7,"Trị liệu đầu, cổ và vai gáy",45,280000,0,0,280000,2026-09-14 21:00:00
264,233,6,Massage đá nóng,90,650000,0,0,650000,2026-08-16 11:15:00
265,234,1,Chăm sóc da mặt cơ bản,60,350000,0,120000,350000,2026-09-01 05:00:00
266,234,3,Cấp ẩm chuyên sâu da mặt,120,520000,2,150000,820000,2026-09-01 05:00:00
267,235,6,Massage đá nóng,90,650000,0,0,650000,2026-09-13 09:45:00
268,236,6,Massage đá nóng,90,650000,0,0,650000,2026-06-09 05:00:00
269,237,7,"Trị liệu đầu, cổ và vai gáy",45,280000,0,0,280000,2026-06-26 07:30:00
270,238,11,Phục hồi da cao cấp,90,850000,0,0,850000,2026-09-07 13:15:00
271,239,2,Làm sạch sâu da mặt,75,480000,0,0,480000,2026-09-14 19:00:00
272,240,9,Ủ dưỡng và chăm sóc cơ thể,75,580000,0,0,580000,2026-09-14 15:00:00
273,241,3,Cấp ẩm chuyên sâu da mặt,90,520000,1,150000,670000,2026-09-15 09:00:00
274,241,7,"Trị liệu đầu, cổ và vai gáy",45,280000,0,0,280000,2026-09-15 09:00:00
275,242,4,Massage thư giãn toàn thân,90,450000,1,180000,630000,2026-09-15 05:00:00
276,243,9,Ủ dưỡng và chăm sóc cơ thể,75,580000,0,0,580000,2026-09-07 11:30:00
277,244,4,Massage thư giãn toàn thân,90,450000,1,180000,630000,2026-09-06 11:30:00
278,245,8,Tẩy tế bào chết toàn thân,60,420000,0,0,420000,2026-09-14 05:30:00
279,245,2,Làm sạch sâu da mặt,75,480000,0,0,480000,2026-09-14 05:30:00
280,246,2,Làm sạch sâu da mặt,75,480000,0,0,480000,2026-09-10 05:15:00
281,247,4,Massage thư giãn toàn thân,90,450000,1,180000,630000,2026-09-14 15:00:00
282,248,4,Massage thư giãn toàn thân,90,450000,1,180000,630000,2026-09-15 07:00:00
283,249,1,Chăm sóc da mặt cơ bản,90,350000,1,120000,470000,2026-06-03 16:00:00
284,250,9,Ủ dưỡng và chăm sóc cơ thể,75,580000,0,0,580000,2026-09-15 03:00:00
285,251,9,Ủ dưỡng và chăm sóc cơ thể,75,580000,0,0,580000,2026-09-14 21:00:00
286,251,4,Massage thư giãn toàn thân,120,450000,2,180000,810000,2026-09-14 21:00:00
287,252,8,Tẩy tế bào chết toàn thân,60,420000,0,0,420000,2026-09-15 04:00:00
288,252,6,Massage đá nóng,90,650000,0,0,650000,2026-09-15 04:00:00
289,253,5,Massage tinh dầu,120,520000,2,200000,920000,2026-06-01 14:15:00
290,254,2,Làm sạch sâu da mặt,75,480000,0,0,480000,2026-09-14 23:00:00
291,255,10,Chăm sóc và massage bàn chân,60,250000,1,80000,330000,2026-08-04 09:45:00
292,256,4,Massage thư giãn toàn thân,60,450000,0,180000,450000,2026-07-20 07:15:00
293,257,4,Massage thư giãn toàn thân,90,450000,1,180000,630000,2026-09-14 20:00:00
294,257,5,Massage tinh dầu,60,520000,0,200000,520000,2026-09-14 20:00:00
