id,booking_id,status_id,assigned_by_manager_id,accepted_at,started_at,completed_at,staff_note,created_at,updated_at
24,28,4,3,2026-08-27 08:45:00,2026-08-27 09:00:00,2026-08-27 10:00:00,\N,2026-08-24 07:05:00,2026-08-27 10:00:00
25,29,4,\N,2026-08-28 15:15:00,2026-08-28 15:30:00,2026-08-28 17:30:00,\N,2026-07-29 11:35:00,2026-08-28 17:30:00
26,30,1,\N,\N,\N,\N,\N,2026-10-07 06:35:00,2026-10-07 06:35:00
27,31,4,2,2026-08-11 15:15:00,2026-08-11 15:30:00,2026-08-11 16:45:00,\N,2026-08-08 10:35:00,2026-08-11 16:45:00
28,32,4,\N,2026-08-22 08:45:00,2026-08-22 09:00:00,2026-08-22 09:45:00,\N,2026-08-04 07:05:00,2026-08-22 09:45:00
29,33,4,\N,2026-07-15 13:15:00,2026-07-15 13:30:00,2026-07-15 14:45:00,\N,2026-07-07 06:35:00,2026-07-15 14:45:00
30,34,4,3,2026-09-01 15:15:00,2026-09-01 15:30:00,2026-09-01 16:30:00,\N,2026-08-24 06:35:00,2026-09-01 16:30:00
31,35,4,\N,2026-09-02 08:45:00,2026-09-02 09:00:00,2026-09-02 10:00:00,\N,2026-08-09 07:05:00,2026-09-02 10:00:00
32,37,1,1,\N,\N,\N,\N,2026-09-24 01:05:00,2026-09-24 01:05:00
33,39,4,\N,2026-07-11 10:45:00,2026-07-11 11:00:00,2026-07-11 11:45:00,\N,2026-07-02 01:05:00,2026-07-11 11:45:00
34,40,5,3,\N,\N,\N,Task dừng do booking bị hủy/từ chối,2026-09-18 11:05:00,2026-09-18 11:05:00
35,41,2,\N,2026-10-07 08:45:00,\N,\N,\N,2026-09-11 02:05:00,2026-10-07 08:45:00
36,42,5,\N,\N,\N,\N,Task dừng do booking bị hủy/từ chối,2026-08-02 06:05:00,2026-08-02 06:05:00
37,43,5,3,\N,\N,\N,Task dừng do booking bị hủy/từ chối,2026-08-08 14:35:00,2026-08-08 14:35:00
38,44,5,\N,\N,\N,\N,Task dừng do booking bị hủy/từ chối,2026-09-17 05:35:00,2026-09-17 05:35:00
39,45,2,\N,2026-10-02 10:45:00,\N,\N,\N,2026-09-14 01:05:00,2026-10-02 10:45:00
40,46,4,1,2026-07-03 08:45:00,2026-07-03 09:00:00,2026-07-03 10:00:00,\N,2026-06-22 07:05:00,2026-07-03 10:00:00
41,47,4,\N,2026-07-17 13:15:00,2026-07-17 13:30:00,2026-07-17 15:00:00,\N,2026-06-30 12:35:00,2026-07-17 15:00:00
42,48,4,\N,2026-07-06 08:45:00,2026-07-06 09:00:00,2026-07-06 10:15:00,\N,2026-06-14 08:05:00,2026-07-06 10:15:00
43,49,2,3,2026-09-19 13:15:00,\N,\N,\N,2026-09-15 03:35:00,2026-09-19 13:15:00
44,50,4,\N,2026-08-22 13:15:00,2026-08-22 13:30:00,2026-08-22 15:30:00,\N,2026-08-10 11:35:00,2026-08-22 15:30:00
45,51,5,\N,\N,\N,\N,Task dừng do booking bị hủy/từ chối,2026-09-19 03:35:00,2026-09-19 03:35:00
46,52,4,3,2026-07-29 13:15:00,2026-07-29 13:30:00,2026-07-29 14:30:00,\N,2026-07-04 09:35:00,2026-07-29 14:30:00
47,53,5,\N,\N,\N,\N,Task dừng do booking bị hủy/từ chối,2026-08-30 04:05:00,2026-08-30 04:05:00
48,55,2,1,2026-10-03 08:45:00,\N,\N,\N,2026-09-26 05:05:00,2026-10-03 08:45:00
49,56,3,\N,2026-09-14 13:15:00,2026-09-14 13:30:00,\N,\N,2026-08-31 13:35:00,2026-09-14 13:30:00
50,57,5,\N,\N,\N,\N,Task dừng do booking bị hủy/từ chối,2026-08-25 07:35:00,2026-08-25 07:35:00
51,58,1,1,\N,\N,\N,\N,2026-09-25 09:05:00,2026-09-25 09:05:00
52,59,5,\N,\N,\N,\N,Task dừng do booking bị hủy/từ chối,2026-09-20 15:35:00,2026-09-20 15:35:00
53,60,1,\N,\N,\N,\N,\N,2026-09-08 06:35:00,2026-09-08 06:35:00
54,61,4,2,2026-07-14 15:15:00,2026-07-14 15:30:00,2026-07-14 16:15:00,\N,2026-06-14 11:35:00,2026-07-14 16:15:00
55,62,4,\N,2026-07-13 13:15:00,2026-07-13 13:30:00,2026-07-13 14:15:00,\N,2026-07-03 03:35:00,2026-07-13 14:15:00
56,63,1,\N,\N,\N,\N,\N,2026-09-30 10:35:00,2026-09-30 10:35:00
57,64,5,1,\N,\N,\N,Task dừng do booking bị hủy/từ chối,2026-08-27 02:05:00,2026-08-27 02:05:00
58,65,2,\N,2026-10-13 13:15:00,\N,\N,\N,2026-09-21 04:35:00,2026-10-13 13:15:00
59,66,1,\N,\N,\N,\N,\N,2026-09-16 05:35:00,2026-09-16 05:35:00
60,67,4,2,2026-07-07 08:45:00,2026-07-07 09:00:00,2026-07-07 09:45:00,\N,2026-06-07 08:05:00,2026-07-07 09:45:00
61,68,4,\N,2026-07-18 08:45:00,2026-07-18 09:00:00,2026-07-18 09:45:00,\N,2026-06-21 07:05:00,2026-07-18 09:45:00
62,69,4,\N,2026-07-16 08:45:00,2026-07-16 09:00:00,2026-07-16 11:00:00,\N,2026-06-25 01:05:00,2026-07-16 11:00:00
63,70,4,2,2026-07-24 15:15:00,2026-07-24 15:30:00,2026-07-24 17:00:00,\N,2026-07-15 15:35:00,2026-07-24 17:00:00
64,71,5,\N,\N,\N,\N,Task dừng do booking bị hủy/từ chối,2026-09-13 07:05:00,2026-09-13 07:05:00
65,72,4,\N,2026-08-06 13:15:00,2026-08-06 13:30:00,2026-08-06 15:30:00,\N,2026-07-08 07:35:00,2026-08-06 15:30:00
66,73,3,2,2026-09-14 13:15:00,2026-09-14 13:30:00,\N,\N,2026-08-23 09:35:00,2026-09-14 13:30:00
67,75,2,\N,2026-09-16 10:45:00,\N,\N,\N,2026-09-04 04:05:00,2026-09-16 10:45:00
68,76,4,1,2026-08-01 08:45:00,2026-08-01 09:00:00,2026-08-01 10:30:00,\N,2026-07-12 05:05:00,2026-08-01 10:30:00
69,77,4,\N,2026-09-09 13:15:00,2026-09-09 13:30:00,2026-09-09 14:15:00,\N,2026-09-02 11:35:00,2026-09-09 14:15:00
70,78,1,\N,\N,\N,\N,\N,2026-09-11 03:05:00,2026-09-11 03:05:00
71,79,4,1,2026-08-08 08:45:00,2026-08-08 09:00:00,2026-08-08 10:30:00,\N,2026-07-18 05:05:00,2026-08-08 10:30:00
72,80,4,\N,2026-07-06 10:45:00,2026-07-06 11:00:00,2026-07-06 11:45:00,\N,2026-06-20 01:05:00,2026-07-06 11:45:00
73,81,4,\N,2026-07-08 15:15:00,2026-07-08 15:30:00,2026-07-08 17:00:00,\N,2026-06-25 13:35:00,2026-07-08 17:00:00
74,83,5,\N,\N,\N,\N,Task dừng do booking bị hủy/từ chối,2026-07-24 11:35:00,2026-07-24 11:35:00
75,85,4,2,2026-08-15 13:15:00,2026-08-15 13:30:00,2026-08-15 14:15:00,\N,2026-08-10 09:35:00,2026-08-15 14:15:00
76,86,4,\N,2026-09-09 15:15:00,2026-09-09 15:30:00,2026-09-09 16:30:00,\N,2026-08-15 13:35:00,2026-09-09 16:30:00
77,87,4,\N,2026-07-18 10:45:00,2026-07-18 11:00:00,2026-07-18 13:00:00,\N,2026-06-18 02:05:00,2026-07-18 13:00:00
78,88,4,3,2026-08-08 13:15:00,2026-08-08 13:30:00,2026-08-08 14:30:00,\N,2026-07-23 09:35:00,2026-08-08 14:30:00
79,89,5,\N,\N,\N,\N,Task dừng do booking bị hủy/từ chối,2026-07-27 09:05:00,2026-07-27 09:05:00
80,90,4,\N,2026-07-18 10:45:00,2026-07-18 11:00:00,2026-07-18 11:45:00,\N,2026-06-18 03:05:00,2026-07-18 11:45:00
81,91,4,3,2026-08-05 15:15:00,2026-08-05 15:30:00,2026-08-05 16:15:00,\N,2026-07-06 11:35:00,2026-08-05 16:15:00
82,92,1,\N,\N,\N,\N,\N,2026-08-18 07:35:00,2026-08-18 07:35:00
83,93,4,\N,2026-08-12 15:15:00,2026-08-12 15:30:00,2026-08-12 17:00:00,\N,2026-07-22 12:35:00,2026-08-12 17:00:00
84,94,4,3,2026-07-23 13:15:00,2026-07-23 13:30:00,2026-07-23 15:00:00,\N,2026-07-03 12:35:00,2026-07-23 15:00:00
85,95,2,\N,2026-10-02 13:15:00,\N,\N,\N,2026-09-08 08:35:00,2026-10-02 13:15:00
86,97,3,2,2026-09-14 15:15:00,2026-09-14 15:30:00,\N,\N,2026-09-04 06:35:00,2026-09-14 15:30:00
87,98,4,\N,2026-09-03 15:15:00,2026-09-03 15:30:00,2026-09-03 16:30:00,\N,2026-08-11 07:35:00,2026-09-03 16:30:00
88,99,5,\N,\N,\N,\N,Task dừng do booking bị hủy/từ chối,2026-09-11 04:05:00,2026-09-11 04:05:00
89,100,1,2,\N,\N,\N,\N,2026-09-09 15:35:00,2026-09-09 15:35:00
90,101,4,\N,2026-09-08 15:15:00,2026-09-08 15:30:00,2026-09-08 16:15:00,\N,2026-08-27 09:35:00,2026-09-08 16:15:00
91,102,4,\N,2026-07-16 08:45:00,2026-07-16 09:00:00,2026-07-16 10:00:00,\N,2026-06-24 01:05:00,2026-07-16 10:00:00
92,103,2,1,2026-10-02 08:45:00,\N,\N,\N,2026-09-12 09:05:00,2026-10-02 08:45:00
93,104,4,\N,2026-07-30 13:15:00,2026-07-30 13:30:00,2026-07-30 14:30:00,\N,2026-07-12 06:35:00,2026-07-30 14:30:00
94,105,4,\N,2026-08-08 08:45:00,2026-08-08 09:00:00,2026-08-08 10:00:00,\N,2026-07-09 09:05:00,2026-08-08 10:00:00
95,106,1,3,\N,\N,\N,\N,2026-09-08 02:05:00,2026-09-08 02:05:00
96,107,4,\N,2026-08-12 15:15:00,2026-08-12 15:30:00,2026-08-12 16:15:00,\N,2026-07-13 12:35:00,2026-08-12 16:15:00
97,108,4,\N,2026-09-04 13:15:00,2026-09-04 13:30:00,2026-09-04 15:00:00,\N,2026-08-11 11:35:00,2026-09-04 15:00:00
98,109,4,1,2026-09-02 15:15:00,2026-09-02 15:30:00,2026-09-02 17:30:00,\N,2026-08-09 07:35:00,2026-09-02 17:30:00
99,110,4,\N,2026-07-01 08:45:00,2026-07-01 09:00:00,2026-07-01 11:00:00,\N,2026-06-29 00:05:00,2026-07-01 11:00:00
100,111,4,\N,2026-07-02 08:45:00,2026-07-02 09:00:00,2026-07-02 10:15:00,\N,2026-06-28 08:05:00,2026-07-02 10:15:00
101,112,5,3,\N,\N,\N,Task dừng do booking bị hủy/từ chối,2026-09-27 13:35:00,2026-09-27 13:35:00
102,113,4,\N,2026-07-30 08:45:00,2026-07-30 09:00:00,2026-07-30 10:00:00,\N,2026-07-24 04:05:00,2026-07-30 10:00:00
103,114,4,\N,2026-07-31 08:45:00,2026-07-31 09:00:00,2026-07-31 10:30:00,\N,2026-07-27 03:05:00,2026-07-31 10:30:00
104,115,4,3,2026-08-04 15:15:00,2026-08-04 15:30:00,2026-08-04 16:15:00,\N,2026-07-25 12:35:00,2026-08-04 16:15:00
105,116,1,\N,\N,\N,\N,\N,2026-10-05 11:35:00,2026-10-05 11:35:00
106,117,4,\N,2026-08-07 15:15:00,2026-08-07 15:30:00,2026-08-07 16:30:00,\N,2026-07-28 11:35:00,2026-08-07 16:30:00
107,118,4,2,2026-08-31 10:45:00,2026-08-31 11:00:00,2026-08-31 11:45:00,\N,2026-08-30 05:05:00,2026-08-31 11:45:00
108,119,3,\N,2026-09-14 15:15:00,2026-09-14 15:30:00,\N,\N,2026-08-26 12:35:00,2026-09-14 15:30:00
109,120,4,\N,2026-09-09 15:15:00,2026-09-09 15:30:00,2026-09-09 17:00:00,\N,2026-08-19 11:35:00,2026-09-09 17:00:00
110,121,4,3,2026-08-21 08:45:00,2026-08-21 09:00:00,2026-08-21 10:30:00,\N,2026-08-01 09:05:00,2026-08-21 10:30:00
111,122,4,\N,2026-08-03 15:15:00,2026-08-03 15:30:00,2026-08-03 16:30:00,\N,2026-08-02 08:35:00,2026-08-03 16:30:00
112,123,4,\N,2026-08-28 08:45:00,2026-08-28 09:00:00,2026-08-28 10:00:00,\N,2026-08-25 05:05:00,2026-08-28 10:00:00
113,124,5,1,\N,\N,\N,Task dừng do booking bị hủy/từ chối,2026-09-05 07:35:00,2026-09-05 07:35:00
114,125,4,\N,2026-08-27 10:45:00,2026-08-27 11:00:00,2026-08-27 12:30:00,\N,2026-08-01 03:05:00,2026-08-27 12:30:00
115,127,4,2,2026-07-15 13:15:00,2026-07-15 13:30:00,2026-07-15 14:45:00,\N,2026-07-11 10:35:00,2026-07-15 14:45:00
116,128,4,\N,2026-08-19 15:15:00,2026-08-19 15:30:00,2026-08-19 17:00:00,\N,2026-08-08 08:35:00,2026-08-19 17:00:00
117,129,2,\N,2026-09-29 08:45:00,\N,\N,\N,2026-09-04 01:05:00,2026-09-29 08:45:00
118,130,1,1,\N,\N,\N,\N,2026-09-05 11:05:00,2026-09-05 11:05:00
119,131,4,\N,2026-08-07 08:45:00,2026-08-07 09:00:00,2026-08-07 11:00:00,\N,2026-07-30 07:05:00,2026-08-07 11:00:00
120,133,3,3,2026-09-14 15:15:00,2026-09-14 15:30:00,\N,\N,2026-09-11 08:35:00,2026-09-14 15:30:00
121,134,4,\N,2026-07-28 15:15:00,2026-07-28 15:30:00,2026-07-28 16:15:00,\N,2026-07-24 05:35:00,2026-07-28 16:15:00
122,135,5,\N,\N,\N,\N,Task dừng do booking bị hủy/từ chối,2026-08-24 04:05:00,2026-08-24 04:05:00
123,136,4,1,2026-07-13 15:15:00,2026-07-13 15:30:00,2026-07-13 17:00:00,\N,2026-06-15 09:35:00,2026-07-13 17:00:00
124,137,1,\N,\N,\N,\N,\N,2026-09-04 02:05:00,2026-09-04 02:05:00
125,138,4,\N,2026-07-28 13:15:00,2026-07-28 13:30:00,2026-07-28 15:00:00,\N,2026-07-20 09:35:00,2026-07-28 15:00:00
126,139,4,2,2026-08-08 13:15:00,2026-08-08 13:30:00,2026-08-08 14:15:00,\N,2026-07-26 12:35:00,2026-08-08 14:15:00
127,140,4,\N,2026-08-19 15:15:00,2026-08-19 15:30:00,2026-08-19 16:15:00,\N,2026-08-18 11:35:00,2026-08-19 16:15:00
128,141,4,\N,2026-08-05 13:15:00,2026-08-05 13:30:00,2026-08-05 14:30:00,\N,2026-08-03 10:35:00,2026-08-05 14:30:00
129,142,4,2,2026-07-16 13:15:00,2026-07-16 13:30:00,2026-07-16 14:15:00,\N,2026-07-11 09:35:00,2026-07-16 14:15:00
130,143,2,\N,2026-10-17 08:45:00,\N,\N,\N,2026-10-01 04:05:00,2026-10-17 08:45:00
131,144,4,\N,2026-08-01 08:45:00,2026-08-01 09:00:00,2026-08-01 10:30:00,\N,2026-07-24 01:05:00,2026-08-01 10:30:00
132,145,5,2,\N,\N,\N,Task dừng do booking bị hủy/từ chối,2026-08-31 06:35:00,2026-08-31 06:35:00
133,146,1,\N,\N,\N,\N,\N,2026-09-22 07:35:00,2026-09-22 07:35:00
134,147,5,\N,\N,\N,\N,Task dừng do booking bị hủy/từ chối,2026-08-26 00:05:00,2026-08-26 00:05:00
135,148,4,3,2026-08-20 10:45:00,2026-08-20 11:00:00,2026-08-20 12:00:00,\N,2026-08-16 09:05:00,2026-08-20 12:00:00
136,149,2,\N,2026-09-28 08:45:00,\N,\N,\N,2026-09-21 04:05:00,2026-09-28 08:45:00
137,150,4,\N,2026-08-03 08:45:00,2026-08-03 09:00:00,2026-08-03 09:45:00,\N,2026-07-30 09:05:00,2026-08-03 09:45:00
138,151,2,1,2026-10-01 08:45:00,\N,\N,\N,2026-09-16 09:05:00,2026-10-01 08:45:00
139,152,4,\N,2026-08-24 15:15:00,2026-08-24 15:30:00,2026-08-24 16:30:00,\N,2026-08-03 11:35:00,2026-08-24 16:30:00
140,153,5,\N,\N,\N,\N,Task dừng do booking bị hủy/từ chối,2026-08-30 11:35:00,2026-08-30 11:35:00
141,155,4,\N,2026-08-01 10:45:00,2026-08-01 11:00:00,2026-08-01 13:00:00,\N,2026-07-02 09:05:00,2026-08-01 13:00:00
142,156,5,\N,\N,\N,\N,Task dừng do booking bị hủy/từ chối,2026-08-15 00:05:00,2026-08-15 00:05:00
143,157,4,3,2026-08-20 10:45:00,2026-08-20 11:00:00,2026-08-20 11:45:00,\N,2026-08-09 09:05:00,2026-08-20 11:45:00
144,158,4,\N,2026-08-07 10:45:00,2026-08-07 11:00:00,2026-08-07 11:45:00,\N,2026-07-17 02:05:00,2026-08-07 11:45:00
145,159,5,\N,\N,\N,\N,Task dừng do booking bị hủy/từ chối,2026-08-16 10:05:00,2026-08-16 10:05:00
146,160,4,3,2026-07-29 10:45:00,2026-07-29 11:00:00,2026-07-29 12:00:00,\N,2026-06-30 10:05:00,2026-07-29 12:00:00
147,161,5,\N,\N,\N,\N,Task dừng do booking bị hủy/từ chối,2026-08-17 07:05:00,2026-08-17 07:05:00
148,162,5,\N,\N,\N,\N,Task dừng do booking bị hủy/từ chối,2026-09-01 01:05:00,2026-09-01 01:05:00
149,163,2,1,2026-10-01 15:15:00,\N,\N,\N,2026-09-22 08:35:00,2026-10-01 15:15:00
150,165,4,\N,2026-09-08 15:15:00,2026-09-08 15:30:00,2026-09-08 17:00:00,\N,2026-08-29 14:35:00,2026-09-08 17:00:00
151,166,3,2,2026-09-14 08:45:00,2026-09-14 09:00:00,\N,\N,2026-08-28 02:05:00,2026-09-14 09:00:00
152,167,4,\N,2026-07-13 15:15:00,2026-07-13 15:30:00,2026-07-13 17:30:00,\N,2026-06-24 06:35:00,2026-07-13 17:30:00
153,168,4,\N,2026-08-12 08:45:00,2026-08-12 09:00:00,2026-08-12 10:30:00,\N,2026-08-03 02:05:00,2026-08-12 10:30:00
154,169,4,1,2026-08-11 10:45:00,2026-08-11 11:00:00,2026-08-11 11:45:00,\N,2026-07-25 09:05:00,2026-08-11 11:45:00
155,170,4,\N,2026-09-03 15:15:00,2026-09-03 15:30:00,2026-09-03 17:30:00,\N,2026-08-06 08:35:00,2026-09-03 17:30:00
156,171,4,\N,2026-08-19 10:45:00,2026-08-19 11:00:00,2026-08-19 11:45:00,\N,2026-07-22 01:05:00,2026-08-19 11:45:00
157,173,4,\N,2026-08-14 08:45:00,2026-08-14 09:00:00,2026-08-14 09:45:00,\N,2026-08-03 23:05:00,2026-08-14 09:45:00
158,174,4,\N,2026-08-08 13:15:00,2026-08-08 13:30:00,2026-08-08 14:15:00,\N,2026-07-18 06:35:00,2026-08-08 14:15:00
159,175,4,3,2026-09-07 13:15:00,2026-09-07 13:30:00,2026-09-07 14:30:00,\N,2026-08-29 05:35:00,2026-09-07 14:30:00
160,176,1,\N,\N,\N,\N,\N,2026-09-27 11:35:00,2026-09-27 11:35:00
161,177,4,\N,2026-07-23 10:45:00,2026-07-23 11:00:00,2026-07-23 12:30:00,\N,2026-06-27 10:05:00,2026-07-23 12:30:00
162,178,1,1,\N,\N,\N,\N,2026-08-23 06:05:00,2026-08-23 06:05:00
163,179,2,\N,2026-09-17 15:15:00,\N,\N,\N,2026-08-19 08:35:00,2026-09-17 15:15:00
164,181,2,2,2026-09-22 08:45:00,\N,\N,\N,2026-09-09 08:05:00,2026-09-22 08:45:00
165,182,4,\N,2026-08-08 10:45:00,2026-08-08 11:00:00,2026-08-08 12:15:00,\N,2026-08-04 10:05:00,2026-08-08 12:15:00
166,183,4,\N,2026-08-07 13:15:00,2026-08-07 13:30:00,2026-08-07 14:15:00,\N,2026-07-16 12:35:00,2026-08-07 14:15:00
167,184,5,1,\N,\N,\N,Task dừng do booking bị hủy/từ chối,2026-08-03 11:35:00,2026-08-03 11:35:00
168,185,3,\N,2026-09-14 13:15:00,2026-09-14 13:30:00,\N,\N,2026-08-18 08:35:00,2026-09-14 13:30:00
169,186,4,\N,2026-07-21 10:45:00,2026-07-21 11:00:00,2026-07-21 12:00:00,\N,2026-07-01 11:05:00,2026-07-21 12:00:00
170,187,5,3,\N,\N,\N,Task dừng do booking bị hủy/từ chối,2026-07-12 10:35:00,2026-07-12 10:35:00
171,188,5,\N,\N,\N,\N,Task dừng do booking bị hủy/từ chối,2026-09-14 05:35:00,2026-09-14 05:35:00
172,189,4,\N,2026-07-03 08:45:00,2026-07-03 09:00:00,2026-07-03 10:00:00,\N,2026-06-11 23:05:00,2026-07-03 10:00:00
173,190,4,3,2026-07-01 15:15:00,2026-07-01 15:30:00,2026-07-01 16:15:00,\N,2026-06-07 09:35:00,2026-07-01 16:15:00
174,191,5,\N,\N,\N,\N,Task dừng do booking bị hủy/từ chối,2026-09-14 07:35:00,2026-09-14 07:35:00
175,192,4,\N,2026-07-23 15:15:00,2026-07-23 15:30:00,2026-07-23 17:30:00,\N,2026-07-10 10:35:00,2026-07-23 17:30:00
176,193,4,3,2026-09-09 13:15:00,2026-09-09 13:30:00,2026-09-09 15:00:00,\N,2026-08-22 03:35:00,2026-09-09 15:00:00
177,194,5,\N,\N,\N,\N,Task dừng do booking bị hủy/từ chối,2026-09-06 23:05:00,2026-09-06 23:05:00
178,195,3,\N,2026-09-14 10:45:00,2026-09-14 11:00:00,\N,\N,2026-08-15 01:05:00,2026-09-14 11:00:00
179,196,1,3,\N,\N,\N,\N,2026-09-24 07:05:00,2026-09-24 07:05:00
180,197,4,\N,2026-07-07 10:45:00,2026-07-07 11:00:00,2026-07-07 12:30:00,\N,2026-06-23 03:05:00,2026-07-07 12:30:00
181,198,1,\N,\N,\N,\N,\N,2026-09-27 23:05:00,2026-09-27 23:05:00
182,199,4,1,2026-09-04 10:45:00,2026-09-04 11:00:00,2026-09-04 11:45:00,\N,2026-08-10 03:05:00,2026-09-04 11:45:00
183,200,4,\N,2026-09-07 08:45:00,2026-09-07 09:00:00,2026-09-07 09:45:00,\N,2026-09-04 08:05:00,2026-09-07 09:45:00
184,201,4,\N,2026-08-21 08:45:00,2026-08-21 09:00:00,2026-08-21 10:30:00,\N,2026-08-09 01:05:00,2026-08-21 10:30:00
185,202,4,2,2026-07-16 13:15:00,2026-07-16 13:30:00,2026-07-16 15:00:00,\N,2026-06-17 03:35:00,2026-07-16 15:00:00
186,203,4,\N,2026-07-24 13:15:00,2026-07-24 13:30:00,2026-07-24 15:00:00,\N,2026-07-20 10:35:00,2026-07-24 15:00:00
187,205,5,1,\N,\N,\N,Task dừng do booking bị hủy/từ chối,2026-08-21 10:35:00,2026-08-21 10:35:00
188,206,5,\N,\N,\N,\N,Task dừng do booking bị hủy/từ chối,2026-08-19 03:35:00,2026-08-19 03:35:00
189,207,4,\N,2026-07-28 10:45:00,2026-07-28 11:00:00,2026-07-28 11:45:00,\N,2026-06-29 02:05:00,2026-07-28 11:45:00
190,208,1,3,\N,\N,\N,\N,2026-09-23 02:05:00,2026-09-23 02:05:00
191,209,1,\N,\N,\N,\N,\N,2026-09-25 07:35:00,2026-09-25 07:35:00
192,210,4,\N,2026-09-05 10:45:00,2026-09-05 11:00:00,2026-09-05 12:30:00,\N,2026-08-21 09:05:00,2026-09-05 12:30:00
193,211,4,3,2026-07-21 15:15:00,2026-07-21 15:30:00,2026-07-21 17:30:00,\N,2026-07-05 08:35:00,2026-07-21 17:30:00
194,212,4,\N,2026-07-21 08:45:00,2026-07-21 09:00:00,2026-07-21 10:30:00,\N,2026-07-04 03:05:00,2026-07-21 10:30:00
195,213,5,\N,\N,\N,\N,Task dừng do booking bị hủy/từ chối,2026-09-12 12:05:00,2026-09-12 12:05:00
196,215,5,\N,\N,\N,\N,Task dừng do booking bị hủy/từ chối,2026-07-29 08:35:00,2026-07-29 08:35:00
197,216,3,\N,2026-09-14 13:15:00,2026-09-14 13:30:00,\N,\N,2026-08-28 13:35:00,2026-09-14 13:30:00
198,217,1,1,\N,\N,\N,\N,2026-09-28 05:35:00,2026-09-28 05:35:00
199,218,5,\N,\N,\N,\N,Task dừng do booking bị hủy/từ chối,2026-09-18 05:35:00,2026-09-18 05:35:00
200,219,5,\N,\N,\N,\N,Task dừng do booking bị hủy/từ chối,2026-08-04 11:35:00,2026-08-04 11:35:00
