id,booking_id,old_status_id,new_status_id,changed_by,note,changed_at
68,24,2,3,8,Staff bắt đầu thực hiện dịch vụ,2026-08-15 11:00:00
69,24,3,4,8,Dịch vụ đã hoàn thành,2026-08-15 13:00:00
70,25,\N,1,39,Khách hàng tạo booking,2026-07-11 05:30:00
71,25,1,2,1,Booking được xác nhận,2026-07-11 05:35:00
72,25,2,3,13,Staff bắt đầu thực hiện dịch vụ,2026-07-13 13:30:00
73,25,3,4,13,Dịch vụ đã hoàn thành,2026-07-13 14:15:00
74,26,\N,1,105,Khách hàng tạo booking,2026-09-10 03:00:00
75,27,\N,1,17,Khách hàng tạo booking,2026-10-07 10:00:00
76,27,1,2,\N,Booking được xác nhận,2026-10-07 10:05:00
77,28,\N,1,113,Khách hàng tạo booking,2026-08-24 07:00:00
78,28,1,2,3,Booking được xác nhận,2026-08-24 07:05:00
79,28,2,3,10,Staff bắt đầu thực hiện dịch vụ,2026-08-27 09:00:00
80,28,3,4,10,Dịch vụ đã hoàn thành,2026-08-27 10:00:00
81,29,\N,1,38,Khách hàng tạo booking,2026-07-29 11:30:00
82,29,1,2,\N,Booking được xác nhận,2026-07-29 11:35:00
83,29,2,3,11,Staff bắt đầu thực hiện dịch vụ,2026-08-28 15:30:00
84,29,3,4,11,Dịch vụ đã hoàn thành,2026-08-28 17:30:00
85,30,\N,1,25,Khách hàng tạo booking,2026-10-07 06:30:00
86,30,1,2,\N,Booking được xác nhận,2026-10-07 06:35:00
87,31,\N,1,97,Khách hàng tạo booking,2026-08-08 10:30:00
88,31,1,2,2,Booking được xác nhận,2026-08-08 10:35:00
89,31,2,3,10,Staff bắt đầu thực hiện dịch vụ,2026-08-11 15:30:00
90,31,3,4,10,Dịch vụ đã hoàn thành,2026-08-11 16:45:00
91,32,\N,1,57,Khách hàng tạo booking,2026-08-04 07:00:00
92,32,1,2,\N,Booking được xác nhận,2026-08-04 07:05:00
93,32,2,3,8,Staff bắt đầu thực hiện dịch vụ,2026-08-22 09:00:00
94,32,3,4,8,Dịch vụ đã hoàn thành,2026-08-22 09:45:00
95,33,\N,1,72,Khách hàng tạo booking,2026-07-07 06:30:00
96,33,1,2,\N,Booking được xác nhận,2026-07-07 06:35:00
97,33,2,3,10,Staff bắt đầu thực hiện dịch vụ,2026-07-15 13:30:00
98,33,3,4,10,Dịch vụ đã hoàn thành,2026-07-15 14:45:00
99,34,\N,1,34,Khách hàng tạo booking,2026-08-24 06:30:00
100,34,1,2,3,Booking được xác nhận,2026-08-24 06:35:00
101,34,2,3,10,Staff bắt đầu thực hiện dịch vụ,2026-09-01 15:30:00
102,34,3,4,10,Dịch vụ đã hoàn thành,2026-09-01 16:30:00
103,35,\N,1,45,Khách hàng tạo booking,2026-08-09 07:00:00
104,35,1,2,\N,Booking được xác nhận,2026-08-09 07:05:00
105,35,2,3,15,Staff bắt đầu thực hiện dịch vụ,2026-09-02 09:00:00
106,35,3,4,15,Dịch vụ đã hoàn thành,2026-09-02 10:00:00
107,36,\N,1,99,Khách hàng tạo booking,2026-09-12 03:00:00
108,37,\N,1,59,Khách hàng tạo booking,2026-09-24 01:00:00
109,38,\N,1,28,Khách hàng tạo booking,2026-08-09 06:00:00
110,38,1,6,1,Không còn nhân viên phù hợp trong khung giờ,2026-08-09 06:20:00
111,39,\N,1,21,Khách hàng tạo booking,2026-07-02 01:00:00
112,39,1,2,\N,Booking được xác nhận,2026-07-02 01:05:00
113,39,2,3,10,Staff bắt đầu thực hiện dịch vụ,2026-07-11 11:00:00
114,39,3,4,10,Dịch vụ đã hoàn thành,2026-07-11 11:45:00
115,40,\N,1,75,Khách hàng tạo booking,2026-09-18 11:00:00
116,40,1,2,3,Booking được xác nhận,2026-09-18 11:05:00
117,40,2,5,75,Khách hàng hủy lịch,2026-09-19 11:00:00
118,41,\N,1,66,Khách hàng tạo booking,2026-09-11 02:00:00
119,41,1,2,\N,Booking được xác nhận,2026-09-11 02:05:00
120,42,\N,1,90,Khách hàng tạo booking,2026-08-02 06:00:00
121,42,1,2,\N,Booking được xác nhận,2026-08-02 06:05:00
122,42,2,5,90,Khách hàng hủy lịch,2026-08-03 06:00:00
123,43,\N,1,75,Khách hàng tạo booking,2026-08-08 14:30:00
124,43,1,2,3,Booking được xác nhận,2026-08-08 14:35:00
125,43,2,5,75,Khách hàng hủy lịch,2026-08-09 14:30:00
126,44,\N,1,45,Khách hàng tạo booking,2026-09-17 05:30:00
127,44,1,2,\N,Booking được xác nhận,2026-09-17 05:35:00
128,44,2,5,45,Khách hàng hủy lịch,2026-09-18 05:30:00
129,45,\N,1,65,Khách hàng tạo booking,2026-09-14 01:00:00
130,45,1,2,\N,Booking được xác nhận,2026-09-14 01:05:00
131,46,\N,1,23,Khách hàng tạo booking,2026-06-22 07:00:00
132,46,1,2,1,Booking được xác nhận,2026-06-22 07:05:00
133,46,2,3,11,Staff bắt đầu thực hiện dịch vụ,2026-07-03 09:00:00
134,46,3,4,11,Dịch vụ đã hoàn thành,2026-07-03 10:00:00
135,47,\N,1,16,Khách hàng tạo booking,2026-06-30 12:30:00
136,47,1,2,\N,Booking được xác nhận,2026-06-30 12:35:00
137,47,2,3,4,Staff bắt đầu thực hiện dịch vụ,2026-07-17 13:30:00
138,47,3,4,4,Dịch vụ đã hoàn thành,2026-07-17 15:00:00
139,48,\N,1,24,Khách hàng tạo booking,2026-06-14 08:00:00
140,48,1,2,\N,Booking được xác nhận,2026-06-14 08:05:00
141,48,2,3,11,Staff bắt đầu thực hiện dịch vụ,2026-07-06 09:00:00
142,48,3,4,11,Dịch vụ đã hoàn thành,2026-07-06 10:15:00
143,49,\N,1,107,Khách hàng tạo booking,2026-09-15 03:30:00
144,49,1,2,3,Booking được xác nhận,2026-09-15 03:35:00
145,50,\N,1,114,Khách hàng tạo booking,2026-08-10 11:30:00
146,50,1,2,\N,Booking được xác nhận,2026-08-10 11:35:00
147,50,2,3,6,Staff bắt đầu thực hiện dịch vụ,2026-08-22 13:30:00
148,50,3,4,6,Dịch vụ đã hoàn thành,2026-08-22 15:30:00
149,51,\N,1,76,Khách hàng tạo booking,2026-09-19 03:30:00
150,51,1,2,\N,Booking được xác nhận,2026-09-19 03:35:00
151,51,2,5,76,Khách hàng hủy lịch,2026-09-20 03:30:00
152,52,\N,1,108,Khách hàng tạo booking,2026-07-04 09:30:00
153,52,1,2,3,Booking được xác nhận,2026-07-04 09:35:00
154,52,2,3,10,Staff bắt đầu thực hiện dịch vụ,2026-07-29 13:30:00
155,52,3,4,10,Dịch vụ đã hoàn thành,2026-07-29 14:30:00
156,53,\N,1,60,Khách hàng tạo booking,2026-08-30 04:00:00
157,53,1,2,\N,Booking được xác nhận,2026-08-30 04:05:00
158,53,2,5,60,Khách hàng hủy lịch,2026-08-31 04:00:00
159,54,\N,1,70,Khách hàng tạo booking,2026-08-26 03:00:00
160,55,\N,1,50,Khách hàng tạo booking,2026-09-26 05:00:00
161,55,1,2,1,Booking được xác nhận,2026-09-26 05:05:00
162,56,\N,1,114,Khách hàng tạo booking,2026-08-31 13:30:00
163,56,1,2,\N,Booking được xác nhận,2026-08-31 13:35:00
164,56,2,3,4,Staff bắt đầu thực hiện dịch vụ,2026-09-14 13:30:00
165,57,\N,1,25,Khách hàng tạo booking,2026-08-25 07:30:00
166,57,1,2,\N,Booking được xác nhận,2026-08-25 07:35:00
167,57,2,5,25,Khách hàng hủy lịch,2026-08-26 07:30:00
168,58,\N,1,67,Khách hàng tạo booking,2026-09-25 09:00:00
169,58,1,2,1,Booking được xác nhận,2026-09-25 09:05:00
170,59,\N,1,41,Khách hàng tạo booking,2026-09-20 15:30:00
171,59,1,2,\N,Booking được xác nhận,2026-09-20 15:35:00
172,59,2,5,41,Khách hàng hủy lịch,2026-09-21 15:30:00
173,60,\N,1,80,Khách hàng tạo booking,2026-09-08 06:30:00
174,60,1,2,\N,Booking được xác nhận,2026-09-08 06:35:00
175,61,\N,1,40,Khách hàng tạo booking,2026-06-14 11:30:00
176,61,1,2,2,Booking được xác nhận,2026-06-14 11:35:00
177,61,2,3,14,Staff bắt đầu thực hiện dịch vụ,2026-07-14 15:30:00
178,61,3,4,14,Dịch vụ đã hoàn thành,2026-07-14 16:15:00
179,62,\N,1,68,Khách hàng tạo booking,2026-07-03 03:30:00
180,62,1,2,\N,Booking được xác nhận,2026-07-03 03:35:00
181,62,2,3,15,Staff bắt đầu thực hiện dịch vụ,2026-07-13 13:30:00
182,62,3,4,15,Dịch vụ đã hoàn thành,2026-07-13 14:15:00
183,63,\N,1,100,Khách hàng tạo booking,2026-09-30 10:30:00
184,64,\N,1,114,Khách hàng tạo booking,2026-08-27 02:00:00
185,64,1,2,1,Booking được xác nhận,2026-08-27 02:05:00
186,64,2,5,114,Khách hàng hủy lịch,2026-08-28 02:00:00
187,65,\N,1,108,Khách hàng tạo booking,2026-09-21 04:30:00
188,65,1,2,\N,Booking được xác nhận,2026-09-21 04:35:00
189,66,\N,1,75,Khách hàng tạo booking,2026-09-16 05:30:00
190,66,1,2,\N,Booking được xác nhận,2026-09-16 05:35:00
191,67,\N,1,71,Khách hàng tạo booking,2026-06-07 08:00:00
192,67,1,2,2,Booking được xác nhận,2026-06-07 08:05:00
193,67,2,3,13,Staff bắt đầu thực hiện dịch vụ,2026-07-07 09:00:00
194,67,3,4,13,Dịch vụ đã hoàn thành,2026-07-07 09:45:00
195,68,\N,1,99,Khách hàng tạo booking,2026-06-21 07:00:00
196,68,1,2,\N,Booking được xác nhận,2026-06-21 07:05:00
197,68,2,3,10,Staff bắt đầu thực hiện dịch vụ,2026-07-18 09:00:00
198,68,3,4,10,Dịch vụ đã hoàn thành,2026-07-18 09:45:00
199,69,\N,1,109,Khách hàng tạo booking,2026-06-25 01:00:00
200,69,1,2,\N,Booking được xác nhận,2026-06-25 01:05:00
201,69,2,3,11,Staff bắt đầu thực hiện dịch vụ,2026-07-16 09:00:00
202,69,3,4,11,Dịch vụ đã hoàn thành,2026-07-16 11:00:00
203,70,\N,1,46,Khách hàng tạo booking,2026-07-15 15:30:00
204,70,1,2,2,Booking được xác nhận,2026-07-15 15:35:00
205,70,2,3,8,Staff bắt đầu thực hiện dịch vụ,2026-07-24 15:30:00
206,70,3,4,8,Dịch vụ đã hoàn thành,2026-07-24 17:00:00
207,71,\N,1,24,Khách hàng tạo booking,2026-09-13 07:00:00
208,71,1,2,\N,Booking được xác nhận,2026-09-13 07:05:00
209,71,2,5,24,Khách hàng hủy lịch,2026-09-14 07:00:00
210,72,\N,1,66,Khách hàng tạo booking,2026-07-08 07:30:00
211,72,1,2,\N,Booking được xác nhận,2026-07-08 07:35:00
212,72,2,3,8,Staff bắt đầu thực hiện dịch vụ,2026-08-06 13:30:00
213,72,3,4,8,Dịch vụ đã hoàn thành,2026-08-06 15:30:00
214,73,\N,1,39,Khách hàng tạo booking,2026-08-23 09:30:00
215,73,1,2,2,Booking được xác nhận,2026-08-23 09:35:00
216,73,2,3,12,Staff bắt đầu thực hiện dịch vụ,2026-09-14 13:30:00
217,74,\N,1,73,Khách hàng tạo booking,2026-08-19 03:00:00
218,74,1,6,1,Không còn nhân viên phù hợp trong khung giờ,2026-08-19 03:20:00
219,75,\N,1,73,Khách hàng tạo booking,2026-09-04 04:00:00
220,75,1,2,\N,Booking được xác nhận,2026-09-04 04:05:00
221,76,\N,1,89,Khách hàng tạo booking,2026-07-12 05:00:00
222,76,1,2,1,Booking được xác nhận,2026-07-12 05:05:00
223,76,2,3,12,Staff bắt đầu thực hiện dịch vụ,2026-08-01 09:00:00
224,76,3,4,12,Dịch vụ đã hoàn thành,2026-08-01 10:30:00
225,77,\N,1,78,Khách hàng tạo booking,2026-09-02 11:30:00
226,77,1,2,\N,Booking được xác nhận,2026-09-02 11:35:00
227,77,2,3,10,Staff bắt đầu thực hiện dịch vụ,2026-09-09 13:30:00
228,77,3,4,10,Dịch vụ đã hoàn thành,2026-09-09 14:15:00
229,78,\N,1,79,Khách hàng tạo booking,2026-09-11 03:00:00
230,78,1,2,\N,Booking được xác nhận,2026-09-11 03:05:00
231,79,\N,1,91,Khách hàng tạo booking,2026-07-18 05:00:00
232,79,1,2,1,Booking được xác nhận,2026-07-18 05:05:00
233,79,2,3,14,Staff bắt đầu thực hiện dịch vụ,2026-08-08 09:00:00
234,79,3,4,14,Dịch vụ đã hoàn thành,2026-08-08 10:30:00
235,80,\N,1,84,Khách hàng tạo booking,2026-06-20 01:00:00
236,80,1,2,\N,Booking được xác nhận,2026-06-20 01:05:00
237,80,2,3,7,Staff bắt đầu thực hiện dịch vụ,2026-07-06 11:00:00
238,80,3,4,7,Dịch vụ đã hoàn thành,2026-07-06 11:45:00
239,81,\N,1,53,Khách hàng tạo booking,2026-06-25 13:30:00
240,81,1,2,\N,Booking được xác nhận,2026-06-25 13:35:00
241,81,2,3,5,Staff bắt đầu thực hiện dịch vụ,2026-07-08 15:30:00
242,81,3,4,5,Dịch vụ đã hoàn thành,2026-07-08 17:00:00
243,82,\N,1,81,Khách hàng tạo booking,2026-10-01 05:00:00
244,83,\N,1,75,Khách hàng tạo booking,2026-07-24 11:30:00
245,83,1,2,\N,Booking được xác nhận,2026-07-24 11:35:00
246,83,2,5,75,Khách hàng hủy lịch,2026-07-25 11:30:00
247,84,\N,1,81,Khách hàng tạo booking,2026-09-23 06:00:00
248,85,\N,1,18,Khách hàng tạo booking,2026-08-10 09:30:00
249,85,1,2,2,Booking được xác nhận,2026-08-10 09:35:00
250,85,2,3,12,Staff bắt đầu thực hiện dịch vụ,2026-08-15 13:30:00
251,85,3,4,12,Dịch vụ đã hoàn thành,2026-08-15 14:15:00
252,86,\N,1,62,Khách hàng tạo booking,2026-08-15 13:30:00
253,86,1,2,\N,Booking được xác nhận,2026-08-15 13:35:00
254,86,2,3,15,Staff bắt đầu thực hiện dịch vụ,2026-09-09 15:30:00
255,86,3,4,15,Dịch vụ đã hoàn thành,2026-09-09 16:30:00
256,87,\N,1,93,Khách hàng tạo booking,2026-06-18 02:00:00
257,87,1,2,\N,Booking được xác nhận,2026-06-18 02:05:00
258,87,2,3,12,Staff bắt đầu thực hiện dịch vụ,2026-07-18 11:00:00
259,87,3,4,12,Dịch vụ đã hoàn thành,2026-07-18 13:00:00
260,88,\N,1,36,Khách hàng tạo booking,2026-07-23 09:30:00
261,88,1,2,3,Booking được xác nhận,2026-07-23 09:35:00
262,88,2,3,6,Staff bắt đầu thực hiện dịch vụ,2026-08-08 13:30:00
263,88,3,4,6,Dịch vụ đã hoàn thành,2026-08-08 14:30:00
264,89,\N,1,115,Khách hàng tạo booking,2026-07-27 09:00:00
265,89,1,6,1,Không còn nhân viên phù hợp trong khung giờ,2026-07-27 09:20:00
266,90,\N,1,104,Khách hàng tạo booking,2026-06-18 03:00:00
267,90,1,2,\N,Booking được xác nhận,2026-06-18 03:05:00
268,90,2,3,4,Staff bắt đầu thực hiện dịch vụ,2026-07-18 11:00:00
269,90,3,4,4,Dịch vụ đã hoàn thành,2026-07-18 11:45:00
270,91,\N,1,85,Khách hàng tạo booking,2026-07-06 11:30:00
271,91,1,2,3,Booking được xác nhận,2026-07-06 11:35:00
272,91,2,3,9,Staff bắt đầu thực hiện dịch vụ,2026-08-05 15:30:00
273,91,3,4,9,Dịch vụ đã hoàn thành,2026-08-05 16:15:00
274,92,\N,1,31,Khách hàng tạo booking,2026-08-18 07:30:00
275,92,1,2,\N,Booking được xác nhận,2026-08-18 07:35:00
276,93,\N,1,50,Khách hàng tạo booking,2026-07-22 12:30:00
277,93,1,2,\N,Booking được xác nhận,2026-07-22 12:35:00
278,93,2,3,12,Staff bắt đầu thực hiện dịch vụ,2026-08-12 15:30:00
279,93,3,4,12,Dịch vụ đã hoàn thành,2026-08-12 17:00:00
280,94,\N,1,57,Khách hàng tạo booking,2026-07-03 12:30:00
281,94,1,2,3,Booking được xác nhận,2026-07-03 12:35:00
282,94,2,3,15,Staff bắt đầu thực hiện dịch vụ,2026-07-23 13:30:00
283,94,3,4,15,Dịch vụ đã hoàn thành,2026-07-23 15:00:00
284,95,\N,1,52,Khách hàng tạo booking,2026-09-08 08:30:00
285,95,1,2,\N,Booking được xác nhận,2026-09-08 08:35:00
286,96,\N,1,88,Khách hàng tạo booking,2026-09-22 01:00:00
287,97,\N,1,67,Khách hàng tạo booking,2026-09-04 06:30:00
288,97,1,2,2,Booking được xác nhận,2026-09-04 06:35:00
289,97,2,3,14,Staff bắt đầu thực hiện dịch vụ,2026-09-14 15:30:00
290,98,\N,1,89,Khách hàng tạo booking,2026-08-11 07:30:00
291,98,1,2,\N,Booking được xác nhận,2026-08-11 07:35:00
292,98,2,3,13,Staff bắt đầu thực hiện dịch vụ,2026-09-03 15:30:00
293,98,3,4,13,Dịch vụ đã hoàn thành,2026-09-03 16:30:00
294,99,\N,1,112,Khách hàng tạo booking,2026-09-11 04:00:00
295,99,1,2,\N,Booking được xác nhận,2026-09-11 04:05:00
296,99,2,5,112,Khách hàng hủy lịch,2026-09-12 04:00:00
297,100,\N,1,72,Khách hàng tạo booking,2026-09-09 15:30:00
298,100,1,2,2,Booking được xác nhận,2026-09-09 15:35:00
299,101,\N,1,43,Khách hàng tạo booking,2026-08-27 09:30:00
300,101,1,2,\N,Booking được xác nhận,2026-08-27 09:35:00
301,101,2,3,12,Staff bắt đầu thực hiện dịch vụ,2026-09-08 15:30:00
302,101,3,4,12,Dịch vụ đã hoàn thành,2026-09-08 16:15:00
303,102,\N,1,64,Khách hàng tạo booking,2026-06-24 01:00:00
304,102,1,2,\N,Booking được xác nhận,2026-06-24 01:05:00
305,102,2,3,6,Staff bắt đầu thực hiện dịch vụ,2026-07-16 09:00:00
306,102,3,4,6,Dịch vụ đã hoàn thành,2026-07-16 10:00:00
307,103,\N,1,84,Khách hàng tạo booking,2026-09-12 09:00:00
308,103,1,2,1,Booking được xác nhận,2026-09-12 09:05:00
309,104,\N,1,92,Khách hàng tạo booking,2026-07-12 06:30:00
310,104,1,2,\N,Booking được xác nhận,2026-07-12 06:35:00
311,104,2,3,4,Staff bắt đầu thực hiện dịch vụ,2026-07-30 13:30:00
312,104,3,4,4,Dịch vụ đã hoàn thành,2026-07-30 14:30:00
313,105,\N,1,60,Khách hàng tạo booking,2026-07-09 09:00:00
314,105,1,2,\N,Booking được xác nhận,2026-07-09 09:05:00
315,105,2,3,6,Staff bắt đầu thực hiện dịch vụ,2026-08-08 09:00:00
316,105,3,4,6,Dịch vụ đã hoàn thành,2026-08-08 10:00:00
317,106,\N,1,68,Khách hàng tạo booking,2026-09-08 02:00:00
318,106,1,2,3,Booking được xác nhận,2026-09-08 02:05:00
319,107,\N,1,25,Khách hàng tạo booking,2026-07-13 12:30:00
320,107,1,2,\N,Booking được xác nhận,2026-07-13 12:35:00
321,107,2,3,5,Staff bắt đầu thực hiện dịch vụ,2026-08-12 15:30:00
322,107,3,4,5,Dịch vụ đã hoàn thành,2026-08-12 16:15:00
323,108,\N,1,57,Khách hàng tạo booking,2026-08-11 11:30:00
324,108,1,2,\N,Booking được xác nhận,2026-08-11 11:35:00
325,108,2,3,15,Staff bắt đầu thực hiện dịch vụ,2026-09-04 13:30:00
326,108,3,4,15,Dịch vụ đã hoàn thành,2026-09-04 15:00:00
327,109,\N,1,49,Khách hàng tạo booking,2026-08-09 07:30:00
328,109,1,2,1,Booking được xác nhận,2026-08-09 07:35:00
329,109,2,3,6,Staff bắt đầu thực hiện dịch vụ,2026-09-02 15:30:00
330,109,3,4,6,Dịch vụ đã hoàn thành,2026-09-02 17:30:00
331,110,\N,1,39,Khách hàng tạo booking,2026-06-29 00:00:00
332,110,1,2,\N,Booking được xác nhận,2026-06-29 00:05:00
333,110,2,3,6,Staff bắt đầu thực hiện dịch vụ,2026-07-01 09:00:00
334,110,3,4,6,Dịch vụ đã hoàn thành,2026-07-01 11:00:00
335,111,\N,1,101,Khách hàng tạo booking,2026-06-28 08:00:00
336,111,1,2,\N,Booking được xác nhận,2026-06-28 08:05:00
337,111,2,3,7,Staff bắt đầu thực hiện dịch vụ,2026-07-02 09:00:00
338,111,3,4,7,Dịch vụ đã hoàn thành,2026-07-02 10:15:00
339,112,\N,1,35,Khách hàng tạo booking,2026-09-27 13:30:00
340,112,1,2,3,Booking được xác nhận,2026-09-27 13:35:00
341,112,2,5,35,Khách hàng hủy lịch,2026-09-28 12:30:00
342,113,\N,1,79,Khách hàng tạo booking,2026-07-24 04:00:00
343,113,1,2,\N,Booking được xác nhận,2026-07-24 04:05:00
344,113,2,3,10,Staff bắt đầu thực hiện dịch vụ,2026-07-30 09:00:00
345,113,3,4,10,Dịch vụ đã hoàn thành,2026-07-30 10:00:00
346,114,\N,1,42,Khách hàng tạo booking,2026-07-27 03:00:00
347,114,1,2,\N,Booking được xác nhận,2026-07-27 03:05:00
348,114,2,3,9,Staff bắt đầu thực hiện dịch vụ,2026-07-31 09:00:00
349,114,3,4,9,Dịch vụ đã hoàn thành,2026-07-31 10:30:00
350,115,\N,1,25,Khách hàng tạo booking,2026-07-25 12:30:00
351,115,1,2,3,Booking được xác nhận,2026-07-25 12:35:00
352,115,2,3,5,Staff bắt đầu thực hiện dịch vụ,2026-08-04 15:30:00
353,115,3,4,5,Dịch vụ đã hoàn thành,2026-08-04 16:15:00
354,116,\N,1,25,Khách hàng tạo booking,2026-10-05 11:30:00
355,116,1,2,\N,Booking được xác nhận,2026-10-05 11:35:00
356,117,\N,1,39,Khách hàng tạo booking,2026-07-28 11:30:00
357,117,1,2,\N,Booking được xác nhận,2026-07-28 11:35:00
358,117,2,3,6,Staff bắt đầu thực hiện dịch vụ,2026-08-07 15:30:00
359,117,3,4,6,Dịch vụ đã hoàn thành,2026-08-07 16:30:00
360,118,\N,1,34,Khách hàng tạo booking,2026-08-30 05:00:00
361,118,1,2,2,Booking được xác nhận,2026-08-30 05:05:00
362,118,2,3,4,Staff bắt đầu thực hiện dịch vụ,2026-08-31 11:00:00
363,118,3,4,4,Dịch vụ đã hoàn thành,2026-08-31 11:45:00
364,119,\N,1,95,Khách hàng tạo booking,2026-08-26 12:30:00
365,119,1,2,\N,Booking được xác nhận,2026-08-26 12:35:00
366,119,2,3,10,Staff bắt đầu thực hiện dịch vụ,2026-09-14 15:30:00
367,120,\N,1,64,Khách hàng tạo booking,2026-08-19 11:30:00
368,120,1,2,\N,Booking được xác nhận,2026-08-19 11:35:00
369,120,2,3,5,Staff bắt đầu thực hiện dịch vụ,2026-09-09 15:30:00
370,120,3,4,5,Dịch vụ đã hoàn thành,2026-09-09 17:00:00
371,121,\N,1,48,Khách hàng tạo booking,2026-08-01 09:00:00
372,121,1,2,3,Booking được xác nhận,2026-08-01 09:05:00
