id,booking_id,rating_id,comment,created_at,updated_at
62,174,5,"Dịch vụ xuất sắc, nhân viên chu đáo.",2026-08-08 14:35:00,2026-08-08 14:35:00
63,175,4,"Nhân viên nhiệt tình, dịch vụ tốt.",2026-09-07 14:50:00,2026-09-07 14:50:00
64,182,1,Không hài lòng với trải nghiệm.,2026-08-08 12:35:00,2026-08-08 12:35:00
65,183,4,"Nhân viên nhiệt tình, dịch vụ tốt.",2026-08-07 14:35:00,2026-08-07 14:35:00
66,186,4,\N,2026-07-21 12:20:00,2026-07-21 12:20:00
67,190,5,"Dịch vụ xuất sắc, nhân viên chu đáo.",2026-07-01 16:35:00,2026-07-01 16:35:00
68,192,3,Tạm ổn.,2026-07-23 17:50:00,2026-07-23 17:50:00
69,193,4,Khá hài lòng.,2026-09-09 15:20:00,2026-09-09 15:20:00
70,200,5,"Dịch vụ xuất sắc, nhân viên chu đáo.",2026-09-07 10:05:00,2026-09-07 10:05:00
71,201,4,Khá hài lòng.,2026-08-21 10:50:00,2026-08-21 10:50:00
72,202,4,\N,2026-07-16 15:20:00,2026-07-16 15:20:00
73,203,4,Khá hài lòng.,2026-07-24 15:20:00,2026-07-24 15:20:00
74,210,4,Khá hài lòng.,2026-09-05 12:50:00,2026-09-05 12:50:00
75,211,4,"Nhân viên nhiệt tình, dịch vụ tốt.",2026-07-21 17:50:00,2026-07-21 17:50:00
76,212,5,"Rất hài lòng, sẽ quay lại.",2026-07-21 10:50:00,2026-07-21 10:50:00
